iter:293 | 5: 0.972272 +i0.000000
iter:294 | 5: 0.972272 +i0.000000
iter:295 | 5: 0.972272 +i0.000000
iter:296 | 5: 0.972272 +i0.000000
iter:297 | 5: 0.972272 +i0.000000
iter:298 | 5: 0.972272 +i0.000000
iter:299 | 5: 0.972272 +i0.000000
iter:300 | 5: 0.972272 +i0.000000
iter:301 | 5: 0.972272 +i0.000000
iter:302 | 5: 0.972272 +i0.000000
iter:303 | 5: 0.972272 +i0.000000
iter:304 | 5: 0.972272 +i0.000000
iter:305 | 5: 0.972272 +i0.000000
iter:306 | 5: 0.972272 +i0.000000
iter:307 | 5: 0.972272 +i0.000000
iter:308 | 5: 0.972272 +i0.000000
iter:309 | 5: 0.972272 +i0.000000
iter:310 | 5: 0.972272 +i0.000000
iter:311 | 5: 0.972272 +i0.000000
iter:312 | 5: 0.972272 +i0.000000
iter:313 | 5: 0.972272 +i0.000000
iter:314 | 5: 0.972272 +i0.000000
iter:315 | 5: 0.972272 +i0.000000
iter:316 | 5: 0.972272 +i0.000000
iter:317 | 5: 0.972272 +i0.000000
iter:318 | 5: 0.972272 +i0.000000
iter:319 | 5: 0.972272 +i0.000000
iter:320 | 5: 0.972272 +i0.000000
iter:321 | 5: 0.972272 +i0.000000
iter:322 | 5: 0.972272 +i0.000000
iter:323 | 5: 0.972272 +i0.000000
iter:324 | 0: -0.088388 +i0.000000
iter:325 | 5: 0.972272 +i0.000000
iter:326 | 5: 0.972272 +i0.000000
iter:327 | 5: 0.972272 +i0.000000
iter:328 | 5: 0.972272 +i0.000000
iter:329 | 5: 0.972272 +i0.000000
iter:330 | 5: 0.972272 +i0.000000
iter:331 | 5: 0.972272 +i0.000000
iter:332 | 5: 0.972272 +i0.000000
iter:333 | 5: 0.972272 +i0.000000
iter:334 | 5: 0.972272 +i0.000000
iter:335 | 5: 0.972272 +i0.000000
iter:336 | 5: 0.972272 +i0.000000
iter:337 | 5: 0.972272 +i0.000000
iter:338 | 5: 0.972272 +i0.000000
iter:339 | 5: 0.972272 +i0.000000
iter:340 | 5: 0.972272 +i0.000000
iter:341 | 5: 0.972272 +i0.000000
iter:342 | 5: 0.972272 +i0.000000
iter:343 | 5: 0.972272 +i0.000000
iter:344 | 3: -0.088388 +i0.000000
iter:345 | 5: 0.972272 +i0.000000
iter:346 | 5: 0.972272 +i0.000000
iter:347 | 5: 0.972272 +i0.000000
iter:348 | 5: 0.972272 +i0.000000
iter:349 | 5: 0.972272 +i0.000000
iter:350 | 5: 0.972272 +i0.000000
iter:351 | 5: 0.972272 +i0.000000
iter:352 | 5: 0.972272 +i0.000000
iter:353 | 5: 0.972272 +i0.000000
iter:354 | 1: -0.088388 +i0.000000
iter:355 | 5: 0.972272 +i0.000000
iter:356 | 5: 0.972272 +i0.000000
iter:357 | 5: 0.972272 +i0.000000
iter:358 | 5: 0.972272 +i0.000000
iter:359 | 5: 0.972272 +i0.000000
iter:360 | 5: 0.972272 +i0.000000
iter:361 | 5: 0.972272 +i0.000000
iter:362 | 5: 0.972272 +i0.000000
iter:363 | 5: 0.972272 +i0.000000
iter:364 | 5: 0.972272 +i0.000000
iter:365 | 5: 0.972272 +i0.000000
iter:366 | 5: 0.972272 +i0.000000
iter:367 | 5: 0.972272 +i0.000000
iter:368 | 5: 0.972272 +i0.000000
iter:369 | 5: 0.972272 +i0.000000
iter:370 | 5: 0.972272 +i0.000000
iter:371 | 5: 0.972272 +i0.000000
iter:372 | 5: 0.972272 +i0.000000
iter:373 | 5: 0.972272 +i0.000000
iter:374 | 5: 0.972272 +i0.000000
iter:375 | 5: 0.972272 +i0.000000
iter:376 | 5: 0.972272 +i0.000000
iter:377 | 5: 0.972272 +i0.000000
iter:378 | 5: 0.972272 +i0.000000
iter:379 | 5: 0.972272 +i0.000000
iter:380 | 5: 0.972272 +i0.000000
iter:381 | 5: 0.972272 +i0.000000
iter:382 | 5: 0.972272 +i0.000000
iter:383 | 5: 0.972272 +i0.000000
iter:384 | 5: 0.972272 +i0.000000
iter:385 | 5: 0.972272 +i0.000000
iter:386 | 5: 0.972272 +i0.000000
iter:387 | 5: 0.972272 +i0.000000
iter:388 | 5: 0.972272 +i0.000000
iter:389 | 5: 0.972272 +i0.000000
iter:390 | 5: 0.972272 +i0.000000
iter:391 | 5: 0.972272 +i0.000000
iter:392 | 5: 0.972272 +i0.000000
iter:393 | 5: 0.972272 +i0.000000
iter:394 | 5: 0.972272 +i0.000000
iter:395 | 5: 0.972272 +i0.000000
iter:396 | 5: 0.972272 +i0.000000
iter:397 | 5: 0.972272 +i0.000000
iter:398 | 5: 0.972272 +i0.000000
iter:399 | 5: 0.972272 +i0.000000
iter:400 | 5: 0.972272 +i0.000000
iter:401 | 6: -0.088388 +i0.000000
iter:402 | 5: 0.972272 +i0.000000
iter:403 | 5: 0.972272 +i0.000000
iter:404 | 5: 0.972272 +i0.000000
iter:405 | 5: 0.972272 +i0.000000
iter:406 | 5: 0.972272 +i0.000000
iter:407 | 5: 0.972272 +i0.000000
iter:408 | 5: 0.972272 +i0.000000
iter:409 | 5: 0.972272 +i0.000000
iter:410 | 5: 0.972272 +i0.000000
iter:411 | 5: 0.972272 +i0.000000
iter:412 | 5: 0.972272 +i0.000000
iter:413 | 5: 0.972272 +i0.000000
iter:414 | 5: 0.972272 +i0.000000
iter:415 | 5: 0.972272 +i0.000000
iter:416 | 5: 0.972272 +i0.000000
iter:417 | 5: 0.972272 +i0.000000
iter:418 | 5: 0.972272 +i0.000000
iter:419 | 5: 0.972272 +i0.000000
iter:420 | 5: 0.972272 +i0.000000
iter:421 | 5: 0.972272 +i0.000000
